State_ID,date,state,hospitalizedCurrently,hospitalizedCumulative,recovered,hospitalizedDischarged,dateChecked
0,20210307,AK,33.0,1293.0,,,2021-03-05T03:59:00Z
1,20210307,AL,494.0,45976.0,295690.0,,2021-03-07T11:00:00Z
2,20210307,AR,335.0,14926.0,315517.0,,2021-03-07T00:00:00Z
3,20210307,AS,,,,,2020-12-01T00:00:00Z
4,20210307,AZ,963.0,57907.0,,118932.0,2021-03-07T00:00:00Z
5,20210307,CA,4291.0,,,,2021-03-07T02:59:00Z
6,20210307,CO,326.0,23904.0,,23003.0,2021-03-07T01:59:00Z
7,20210307,CT,428.0,,,,2021-03-04T23:59:00Z
8,20210307,DC,150.0,,29570.0,,2021-03-06T00:00:00Z
9,20210307,DE,104.0,,,,2021-03-06T18:00:00Z
10,20210307,FL,3307.0,82237.0,,,2021-03-06T23:59:00Z
11,20210307,GA,2008.0,56797.0,,,2021-03-07T14:50:00Z
12,20210307,GU,2.0,,7590.0,,2021-03-07T01:45:00Z
13,20210307,HI,27.0,2226.0,,,2021-03-05T14:30:00Z
14,20210307,IA,167.0,,320054.0,,2021-03-07T00:00:00Z
15,20210307,ID,150.0,7184.0,96017.0,,2021-03-06T19:00:00Z
16,20210307,IL,1141.0,,,,2021-03-07T00:00:00Z
17,20210307,IN,656.0,43217.0,,434805.0,2021-03-06T23:59:00Z
18,20210307,KS,235.0,9387.0,,6473.0,2021-03-05T10:00:00Z
19,20210307,KY,558.0,19457.0,48145.0,,2021-03-07T00:00:00Z
20,20210307,LA,532.0,,415954.0,,2021-03-07T13:00:00Z
21,20210307,MA,665.0,19713.0,508745.0,,2021-03-06T23:59:00Z
22,20210307,MD,818.0,35651.0,9703.0,,2021-03-07T10:00:00Z
23,20210307,ME,67.0,1570.0,12840.0,,2021-03-06T23:59:00Z
24,20210307,MI,866.0,,549881.0,,2021-03-06T00:00:00Z
25,20210307,MN,224.0,25978.0,476055.0,,2021-03-06T17:00:00Z
26,20210307,MO,955.0,,,,2021-03-07T00:59:00Z
27,20210307,MP,,4.0,29.0,,2021-03-08T00:00:00Z
28,20210307,MS,419.0,9162.0,278162.0,,2021-03-06T00:00:00Z
29,20210307,MT,63.0,4630.0,97943.0,,2021-03-07T01:59:00Z
30,20210307,NC,1179.0,,,819839.0,2021-03-06T11:35:00Z
31,20210307,ND,23.0,3880.0,98326.0,,2021-03-07T01:59:00Z
32,20210307,NE,137.0,6237.0,157144.0,,2021-03-07T11:15:00Z
33,20210307,NH,68.0,1131.0,73615.0,,2021-03-07T09:00:00Z
34,20210307,NJ,1792.0,64396.0,,77193.0,2021-03-07T00:00:00Z
35,20210307,NM,169.0,13252.0,156554.0,,2021-03-07T17:37:00Z
36,20210307,NV,399.0,,,,2021-03-06T00:00:00Z
37,20210307,NY,4789.0,,,150100.0,2021-03-06T14:00:00Z
38,20210307,OH,820.0,50881.0,925655.0,,2021-03-07T14:00:00Z
